,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
63,64,132,Schladming – Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4-Berge-Skischaukel),Europe,Austria,https://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/,4.7,1287 m,728 m,2015 m,123 km,46.4 km,68.3 km,8.3 km,46 ski lifts,"€ 58,-",https://www.skiresort.info/typo3temp/_processed_/7c/c4/4c/c8/7dffcd7c88.jpg,Schladming_–_Planai/Hochwurzen/Hauser_Kaibling/Reiteralm_(4-Berge-Skischaukel)_IDresort132.jpg,https://www.skiresort.info/ski-resorts/page/2/
64,65,142,Sölden,Europe,Austria,https://www.skiresort.info/ski-resort/soelden/,4.7,1990 m,1350 m,3340 m,143.4 km,69.5 km,46.6 km,27.3 km,31 ski lifts,"€ 62,-",https://www.skiresort.info/typo3temp/_processed_/b2/29/96/63/759fd8c842.jpg,Sölden_IDresort142.jpg,https://www.skiresort.info/ski-resorts/page/2/
65,66,250,Tignes/Val d'Isère,Europe,France,https://www.skiresort.info/ski-resort/tignesval-disere/,4.6,1906 m,1550 m,3456 m,300 km,170 km,78 km,52 km,82 ski lifts,"€ 62,-",https://www.skiresort.info/typo3temp/_processed_/3a/ab/be/ee/4452628bcb.jpg,Tignes/Val_d'Isère_IDresort250.jpg,https://www.skiresort.info/ski-resorts/page/2/
66,67,315,Vail,North America,USA,https://www.skiresort.info/ski-resort/vail/,4.6,976 m,2457 m,3433 m,234 km,57 km,84 km,93 km,25 ski lifts,"US$ 219,- / approx. € 184,-",https://www.skiresort.info/typo3temp/_processed_/30/07/79/98/7acd6f879c.jpg,Vail_IDresort315.jpg,https://www.skiresort.info/ski-resorts/page/2/
67,68,246,Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,Europe,France,https://www.skiresort.info/ski-resort/les-3-vallees-val-thorensles-menuiresmeribelcourchevel/,4.6,2130 m,1100 m,3230 m,600 km,312 km,216 km,72 km,137 ski lifts,€ 64.50,https://www.skiresort.info/typo3temp/_processed_/2d/dd/d9/9d/9b9a3b693c.jpg,Les_3_Vallées_–_Val_Thorens/Les_Menuires/Méribel/Courchevel_IDresort246.jpg,https://www.skiresort.info/ski-resorts/page/2/
68,69,144,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,https://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,4.6,1870 m,630 m,2500 m,142 km,44 km,70 km,28 km,44 ski lifts,€ 57.50,https://www.skiresort.info/typo3temp/_processed_/9a/ac/cb/bb/1bb4e3a872.jpg,Mayrhofen_–_Penken/Ahorn/Rastkogel/Eggalm_IDresort144.jpg,https://www.skiresort.info/ski-resorts/page/2/
69,70,198,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,Europe,Switzerland,https://www.skiresort.info/ski-resort/zermattbreuil-cerviniavaltournenche-matterhorn/,4.5,2337 m,1562 m,3899 m,322 km,75 km,220 km,27 km,52 ski lifts,"SFr. 92,- / approx. € 83,-",https://www.skiresort.info/typo3temp/_processed_/ba/ae/e4/4d/937ac9b25f.jpg,Zermatt/Breuil-Cervinia/Valtournenche_–_Matterhorn_IDresort198.jpg,https://www.skiresort.info/ski-resorts/page/2/
70,71,578,Telluride,North America,USA,https://www.skiresort.info/ski-resort/telluride/,4.5,1156 m,2659 m,3815 m,88.2 km,6.7 km,51.7 km,29.8 km,16 ski lifts,"US$ 169,- / approx. € 142,-",https://www.skiresort.info/typo3temp/_processed_/48/84/47/75/5add876b01.jpg,Telluride_IDresort578.jpg,https://www.skiresort.info/ski-resorts/page/2/
71,72,113,Hochkönig – Maria Alm/Dienten/Mühlbach,Europe,Austria,https://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,4.5,1100 m,800 m,1900 m,120 km,52 km,41 km,27 km,34 ski lifts,"€ 57,-",https://www.skiresort.info/typo3temp/_processed_/3b/b9/93/31/244a699f90.jpg,Hochkönig_–_Maria_Alm/Dienten/Mühlbach_IDresort113.jpg,https://www.skiresort.info/ski-resorts/page/2/
72,73,289,Beaver Creek,North America,USA,https://www.skiresort.info/ski-resort/beaver-creek/,4.5,1233 m,2255 m,3488 m,150 km,28.5 km,64.5 km,57 km,16 ski lifts,"US$ 218,- / approx. € 183,-",https://www.skiresort.info/typo3temp/_processed_/ff/f1/1e/e2/d3705f40c3.jpg,Beaver_Creek_IDresort289.jpg,https://www.skiresort.info/ski-resorts/page/2/
73,74,203,Kronplatz (Plan de Corones),Europe,Italy,https://www.skiresort.info/ski-resort/kronplatz-plan-de-corones/,4.5,1302 m,973 m,2275 m,119 km,52 km,42 km,25 km,33 ski lifts,"€ 60,-",https://www.skiresort.info/typo3temp/_processed_/63/32/26/66/2e713bcdc0.jpg,Kronplatz_(Plan_de_Corones)_IDresort203.jpg,https://www.skiresort.info/ski-resorts/page/2/
74,75,69,Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Europe,Austria,https://www.skiresort.info/ski-resort/snow-space-salzburg-flachauwagrainst-johann-alpendorf/,4.5,1240 m,740 m,1980 m,120 km,34 km,82 km,4 km,45 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/e6/65/5e/e9/470d9364a6.jpg,Snow_Space_Salzburg_–_Flachau/Wagrain/St._Johann-Alpendorf_IDresort69.jpg,https://www.skiresort.info/ski-resorts/page/2/
75,76,174,Laax/Flims/Falera,Europe,Switzerland,https://www.skiresort.info/ski-resort/laaxflimsfalera/,4.5,1918 m,1100 m,3018 m,188 km,88 km,81 km,19 km,28 ski lifts,"SFr. 89,- / approx. € 80,-",https://www.skiresort.info/typo3temp/assets/_processed_/da/a8/80/01/f025fc7f0d.jpg,Laax/Flims/Falera_IDresort174.jpg,https://www.skiresort.info/ski-resorts/page/2/
76,77,165,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,Europe,Switzerland,https://www.skiresort.info/ski-resort/adelbodenlenk-chuenisbaerglisillerenhahnenmoosmetsch/,4.4,940 m,1260 m,2200 m,86 km,46 km,34 km,6 km,23 ski lifts,"SFr. 67,- / approx. € 61,-",https://www.skiresort.info/typo3temp/_processed_/16/61/14/4d/ae6fc7b60d.jpg,Adelboden/Lenk_–_Chuenisbärgli/Silleren/Hahnenmoos/Metsch_IDresort165.jpg,https://www.skiresort.info/ski-resorts/page/2/
77,78,303,Mammoth Mountain,North America,USA,https://www.skiresort.info/ski-resort/mammoth-mountain/,4.4,945 m,2424 m,3369 m,89.8 km,18.4 km,48.5 km,22.9 km,25 ski lifts,"US$ 209,- / approx. € 175,-",https://www.skiresort.info/typo3temp/_processed_/ae/e6/6d/d2/d622343896.jpg,Mammoth_Mountain_IDresort303.jpg,https://www.skiresort.info/ski-resorts/page/2/
78,79,75,Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,https://www.skiresort.info/ski-resort/bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel/,4.4,1440 m,860 m,2300 m,85.9 km,30.8 km,52.5 km,2.6 km,18 ski lifts,€ 58.50,https://www.skiresort.info/typo3temp/assets/_processed_/82/20/0f/fb/142d116c36.jpg,Bad_Gastein/Bad_Hofgastein_–_Schlossalm/Angertal/Stubnerkogel_IDresort75.jpg,https://www.skiresort.info/ski-resorts/page/2/
79,80,366,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,Europe,Andorra,https://www.skiresort.info/ski-resort/grandvalira-pas-de-la-casagrau-roigsoldeuel-tartercanilloencamp/,4.4,930 m,1710 m,2640 m,210 km,100 km,77 km,33 km,65 ski lifts,"€ 52,-",https://www.skiresort.info/typo3temp/_processed_/27/7e/e2/2a/0e08c328ff.jpg,Grandvalira_–_Pas_de_la_Casa/Grau_Roig/Soldeu/El_Tarter/Canillo/Encamp_IDresort366.jpg,https://www.skiresort.info/ski-resorts/page/2/
80,81,570,Schmittenhöhe – Zell am See,Europe,Austria,https://www.skiresort.info/ski-resort/schmittenhoehe-zell-am-see/,4.4,1240 m,760 m,2000 m,77 km,30 km,28 km,19 km,28 ski lifts,"€ 53,-",https://www.skiresort.info/typo3temp/assets/_processed_/d9/9b/b7/74/9140d82ea2.jpg,Schmittenhöhe_–_Zell_am_See_IDresort570.jpg,https://www.skiresort.info/ski-resorts/page/2/
81,82,287,Snowmass,North America,USA,https://www.skiresort.info/ski-resort/snowmass/,4.4,1340 m,2473 m,3813 m,237 km,12 km,114 km,111 km,16 ski lifts,"US$ 199,- / approx. € 167,-",https://www.skiresort.info/typo3temp/_processed_/3a/ad/d4/4b/2e9955fb0f.jpg,Snowmass_IDresort287.jpg,https://www.skiresort.info/ski-resorts/page/2/
82,83,248,Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,Europe,France,https://www.skiresort.info/ski-resort/serre-chevalier-brianconchantemerlevilleneuve-la-sallele-monetier-les-bains/,4.4,1600 m,1200 m,2800 m,250 km,137.5 km,80 km,32.5 km,55 ski lifts,"€ 53,-",https://www.skiresort.info/typo3temp/_processed_/07/77/71/14/3115de593a.jpg,Serre_Chevalier_–_Briançon/Chantemerle/Villeneuve-la-Salle/Le_Monêtier-les-Bains_IDresort248.jpg,https://www.skiresort.info/ski-resorts/page/2/
83,84,3686,Niseko United – Annupuri/Grand Hirafu/Hanazono/Niseko Village,Asia,Japan,https://www.skiresort.info/ski-resort/niseko-united-annupurigrand-hirafuhanazononiseko-village/,4.4,933 m,255 m,1188 m,50.8 km,22.4 km,18.2 km,10.2 km,31 ski lifts,"¥ 8100,- / approx. € 62,-",https://www.skiresort.info/typo3temp/_processed_/73/36/62/29/f61eba6871.jpg,Niseko_United_–_Annupuri/Grand_Hirafu/Hanazono/Niseko_Village_IDresort3686.jpg,https://www.skiresort.info/ski-resorts/page/2/
84,85,243,La Plagne (Paradiski),Europe,France,https://www.skiresort.info/ski-resort/la-plagne-paradiski/,4.4,1960 m,1207 m,3167 m,225 km,139 km,59 km,27 km,71 ski lifts,"€ 55,-",https://www.skiresort.info/typo3temp/_processed_/12/27/79/95/78193da386.jpg,La_Plagne_(Paradiski)_IDresort243.jpg,https://www.skiresort.info/ski-resorts/page/2/
85,86,191,Andermatt/Oberalp/Sedrun,Europe,Switzerland,https://www.skiresort.info/ski-resort/andermattoberalpsedrun/,4.4,1156 m,1444 m,2600 m,70 km,18 km,40 km,12 km,13 ski lifts,"SFr. 89,- / approx. € 80,-",https://www.skiresort.info/typo3temp/_processed_/df/fa/a0/09/9efc47235e.jpg,Andermatt/Oberalp/Sedrun_IDresort191.jpg,https://www.skiresort.info/ski-resorts/page/2/
86,87,167,Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,Europe,Switzerland,https://www.skiresort.info/ski-resort/aletsch-arena-riederalpbettmeralpfiesch-eggishorn/,4.4,1024 m,1845 m,2869 m,104 km,42 km,50 km,12 km,35 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/b1/17/7f/f9/c87454a3d5.jpg,Aletsch_Arena_–_Riederalp/Bettmeralp/Fiesch_Eggishorn_IDresort167.jpg,https://www.skiresort.info/ski-resorts/page/2/
87,88,290,Breckenridge,North America,USA,https://www.skiresort.info/ski-resort/breckenridge/,4.3,988 m,2926 m,3914 m,153 km,28 km,60 km,65 km,23 ski lifts,"US$ 199,- / approx. € 167,-",https://www.skiresort.info/typo3temp/_processed_/07/75/5f/f2/2973d8be0c.jpg,Breckenridge_IDresort290.jpg,https://www.skiresort.info/ski-resorts/page/2/
88,89,224,Alpe di Siusi (Seiser Alm),Europe,Italy,https://www.skiresort.info/ski-resort/alpe-di-siusi-seiser-alm/,4.3,551 m,1669 m,2220 m,63 km,15 km,45 km,3 km,21 ski lifts,"€ 64,-",https://www.skiresort.info/typo3temp/_processed_/58/81/1c/cf/8555e6dd0a.jpg,Alpe_di_Siusi_(Seiser_Alm)_IDresort224.jpg,https://www.skiresort.info/ski-resorts/page/2/
89,90,195,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Europe,Switzerland,https://www.skiresort.info/ski-resort/4-vallees-verbierla-tzoumaznendazveysonnazthyon/,4.3,2509 m,821 m,3330 m,412 km,107 km,202 km,103 km,67 ski lifts,"SFr. 78,- / approx. € 70,-",https://www.skiresort.info/typo3temp/_processed_/cf/f9/97/71/e15671825b.jpg,4_Vallées_–_Verbier/La_Tzoumaz/Nendaz/Veysonnaz/Thyon_IDresort195.jpg,https://www.skiresort.info/ski-resorts/page/2/
90,91,333,Sun Peaks,North America,Canada,https://www.skiresort.info/ski-resort/sun-peaks/,4.3,884 m,1198 m,2082 m,135 km,13.5 km,78 km,43.5 km,10 ski lifts,"C$ 125,- / approx. € 84,-",https://www.skiresort.info/typo3temp/_processed_/dc/cd/d8/8c/d143e70394.jpg,Sun_Peaks_IDresort333.jpg,https://www.skiresort.info/ski-resorts/page/2/
91,92,118,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,https://www.skiresort.info/ski-resort/gurgl-obergurgl-hochgurgl/,4.3,1289 m,1793 m,3082 m,107.7 km,60.2 km,33.2 km,14.3 km,25 ski lifts,"€ 60,-",https://www.skiresort.info/typo3temp/_processed_/85/56/64/4c/7c5a17bcf9.jpg,Gurgl_–_Obergurgl-Hochgurgl_IDresort118.jpg,https://www.skiresort.info/ski-resorts/page/2/
92,93,329,Tremblant,North America,Canada,https://www.skiresort.info/ski-resort/tremblant/,4.3,645 m,230 m,875 m,81.9 km,21.6 km,24.5 km,35.8 km,11 ski lifts,"C$ 119,- / approx. € 80,-",https://www.skiresort.info/typo3temp/assets/_processed_/e9/93/34/4c/ac52f59894.jpg,Tremblant_IDresort329.jpg,https://www.skiresort.info/ski-resorts/page/2/
93,94,298,Keystone,North America,USA,https://www.skiresort.info/ski-resort/keystone/,4.3,816 m,2835 m,3651 m,135 km,25 km,65 km,45 km,13 ski lifts,"US$ 176,- / approx. € 148,-",https://www.skiresort.info/typo3temp/_processed_/8f/f4/44/43/d15ed1b66a.jpg,Keystone_IDresort298.jpg,https://www.skiresort.info/ski-resorts/page/2/
94,95,327,Lake Louise,North America,Canada,https://www.skiresort.info/ski-resort/lake-louise/,4.3,991 m,1646 m,2637 m,139 km,35 km,62 km,42 km,7 ski lifts,"C$ 124,- / approx. € 84,-",https://www.skiresort.info/typo3temp/_processed_/81/1f/fc/c8/598df0511b.jpg,Lake_Louise_IDresort327.jpg,https://www.skiresort.info/ski-resorts/page/2/
95,96,128,Katschberg,Europe,Austria,https://www.skiresort.info/ski-resort/katschberg/,4.3,1154 m,1066 m,2220 m,70 km,10 km,50 km,10 km,16 ski lifts,"€ 49,-",https://www.skiresort.info/typo3temp/_processed_/df/fd/d9/9e/0b9e575af5.jpg,Katschberg_IDresort128.jpg,https://www.skiresort.info/ski-resorts/page/2/
96,97,320,Big White,North America,Canada,https://www.skiresort.info/ski-resort/big-white/,4.3,777 m,1508 m,2285 m,105 km,18.9 km,56.7 km,29.4 km,12 ski lifts,"C$ 139,- / approx. € 94,-",https://www.skiresort.info/typo3temp/_processed_/75/59/90/04/099f86c25b.jpg,Big_White_IDresort320.jpg,https://www.skiresort.info/ski-resorts/page/2/
97,98,200,Alta Badia,Europe,Italy,https://www.skiresort.info/ski-resort/alta-badia/,4.3,1226 m,1324 m,2550 m,130 km,70 km,52 km,8 km,53 ski lifts,"€ 60,-",https://www.skiresort.info/typo3temp/_processed_/34/49/9c/cd/7c176e5ad4.jpg,Alta_Badia_IDresort200.jpg,https://www.skiresort.info/ski-resorts/page/2/
98,99,245,Les 2 Alpes,Europe,France,https://www.skiresort.info/ski-resort/les-2-alpes/,4.3,2243 m,1280 m,3523 m,200 km,110 km,56 km,34 km,46 ski lifts,"€ 53,-",https://www.skiresort.info/typo3temp/_processed_/75/5c/cb/b2/a6b8e32fe7.jpg,Les_2_Alpes_IDresort245.jpg,https://www.skiresort.info/ski-resorts/page/2/
99,100,212,Livigno,Europe,Italy,https://www.skiresort.info/ski-resort/livigno/,4.3,982 m,1816 m,2798 m,115 km,30 km,65 km,20 km,32 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/d0/01/18/80/31293b97c5.jpg,Livigno_IDresort212.jpg,https://www.skiresort.info/ski-resorts/page/2/
100,101,193,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,Europe,Switzerland,https://www.skiresort.info/ski-resort/les-portes-du-soleil-morzineavoriazles-getschatelmorginschampery/,4.3,1269 m,985 m,2254 m,580 km,310 km,210 km,60 km,170 ski lifts,"€ 59,-",https://www.skiresort.info/typo3temp/_processed_/45/57/76/6d/9b50d68f79.jpg,Les_Portes_du_Soleil_–_Morzine/Avoriaz/Les_Gets/Châtel/Morgins/Champéry_IDresort193.jpg,https://www.skiresort.info/ski-resorts/page/2/
101,102,299,Killington,North America,USA,https://www.skiresort.info/ski-resort/killington/,4.2,938 m,355 m,1293 m,116.8 km,19.9 km,46.7 km,50.2 km,19 ski lifts,"US$ 165,- / approx. € 139,-",https://www.skiresort.info/typo3temp/assets/_processed_/04/4d/d6/63/ed3c573628.jpg,Killington_IDresort299.jpg,https://www.skiresort.info/ski-resorts/page/2/
102,103,328,Mont-Sainte-Anne,North America,Canada,https://www.skiresort.info/ski-resort/mont-sainte-anne/,4.2,625 m,175 m,800 m,73 km,15 km,34 km,24 km,7 ski lifts,"C$ 109,- / approx. € 74,-",https://www.skiresort.info/typo3temp/_processed_/7b/ba/a1/11/623ba62286.jpg,Mont-Sainte-Anne_IDresort328.jpg,https://www.skiresort.info/ski-resorts/page/2/
103,104,312,Sunday River,North America,USA,https://www.skiresort.info/ski-resort/sunday-river/,4.2,707 m,250 m,957 m,84.8 km,25.5 km,30.5 km,28.8 km,15 ski lifts,"US$ 119,- / approx. € 100,-",https://www.skiresort.info/typo3temp/assets/_processed_/19/92/2c/c3/ef21bf8ba6.jpg,Sunday_River_IDresort312.jpg,https://www.skiresort.info/ski-resorts/page/2/
104,105,496,Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa,Europe,Italy,https://www.skiresort.info/ski-resort/belvederecol-rodellaciampacbuffaure-canazeicampitelloalbapozza-di-fassa/,4.2,1165 m,1320 m,2485 m,55.2 km,7.3 km,40.7 km,7.2 km,36 ski lifts,"€ 56,-",https://www.skiresort.info/typo3temp/_processed_/41/11/19/99/bd6e93e76d.jpg,Belvedere/Col_Rodella/Ciampac/Buffaure_–_Canazei/Campitello/Alba/Pozza_di_Fassa_IDresort496.jpg,https://www.skiresort.info/ski-resorts/page/2/
105,106,180,Kleine Scheidegg/Männlichen – Grindelwald/Wengen,Europe,Switzerland,https://www.skiresort.info/ski-resort/kleine-scheideggmaennlichen-grindelwaldwengen/,4.2,1376 m,944 m,2320 m,102 km,33 km,56 km,13 km,24 ski lifts,"SFr. 69,- / approx. € 62,-",https://www.skiresort.info/typo3temp/_processed_/81/19/99/9f/c2adffd9b4.jpg,Kleine_Scheidegg/Männlichen_–_Grindelwald/Wengen_IDresort180.jpg,https://www.skiresort.info/ski-resorts/page/2/
106,107,225,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,Europe,Italy,https://www.skiresort.info/ski-resort/via-lattea-sestrieresauze-doulxsan-sicarioclavieremontgenevre/,4.2,1417 m,1372 m,2789 m,400 km,96 km,220 km,84 km,63 ski lifts,€ 50.50,https://www.skiresort.info/typo3temp/_processed_/67/73/31/13/29d98de3d7.jpg,Via_Lattea_–_Sestriere/Sauze_d’Oulx/San_Sicario/Claviere/Montgenèvre_IDresort225.jpg,https://www.skiresort.info/ski-resorts/page/2/
107,108,494,Passo San Pellegrino/Falcade,Europe,Italy,https://www.skiresort.info/ski-resort/passo-san-pellegrinofalcade/,4.2,1323 m,1190 m,2513 m,67.5 km,20.5 km,38.5 km,8.5 km,15 ski lifts,"€ 52,-",https://www.skiresort.info/typo3temp/_processed_/4e/e2/2d/d1/c87377053b.jpg,Passo_San_Pellegrino/Falcade_IDresort494.jpg,https://www.skiresort.info/ski-resorts/page/2/
108,109,316,Winter Park Resort,North America,USA,https://www.skiresort.info/ski-resort/winter-park-resort/,4.2,933 m,2743 m,3676 m,143 km,11 km,53 km,79 km,22 ski lifts,"US$ 164,- / approx. € 138,-",https://www.skiresort.info/typo3temp/_processed_/29/9f/f7/72/efd4d65a4e.jpg,Winter_Park_Resort_IDresort316.jpg,https://www.skiresort.info/ski-resorts/page/2/
109,110,479,Obersaxen/Mundaun/Val Lumnezia,Europe,Switzerland,https://www.skiresort.info/ski-resort/obersaxenmundaunval-lumnezia/,4.2,1109 m,1201 m,2310 m,120 km,60 km,40 km,20 km,16 ski lifts,"SFr. 59,- / approx. € 53,-",https://www.skiresort.info/typo3temp/assets/_processed_/6e/e7/7d/d1/238025b76d.jpg,Obersaxen/Mundaun/Val_Lumnezia_IDresort479.jpg,https://www.skiresort.info/ski-resorts/page/2/
110,111,295,Heavenly,North America,USA,https://www.skiresort.info/ski-resort/heavenly/,4.2,1059 m,2001 m,3060 m,94 km,18 km,42 km,34 km,24 ski lifts,"US$ 164,- / approx. € 138,-",https://www.skiresort.info/typo3temp/_processed_/e4/4d/d6/63/b18b148218.jpg,Heavenly_IDresort295.jpg,https://www.skiresort.info/ski-resorts/page/2/
111,112,516,Baqueira/Beret,Europe,Spain,https://www.skiresort.info/ski-resort/baqueiraberet/,4.2,1110 m,1500 m,2610 m,160 km,80 km,60 km,20 km,29 ski lifts,€ 54.50,https://www.skiresort.info/typo3temp/_processed_/54/43/37/75/fafecb2126.jpg,Baqueira/Beret_IDresort516.jpg,https://www.skiresort.info/ski-resorts/page/2/
112,113,242,Alpe d'Huez,Europe,France,https://www.skiresort.info/ski-resort/alpe-dhuez/,4.2,2205 m,1125 m,3330 m,250 km,70 km,130 km,50 km,62 ski lifts,"€ 55,-",https://www.skiresort.info/typo3temp/_processed_/99/93/34/41/15382e0fd7.jpg,Alpe_d'Huez_IDresort242.jpg,https://www.skiresort.info/ski-resorts/page/2/
113,114,172,Parsenn (Davos Klosters),Europe,Switzerland,https://www.skiresort.info/ski-resort/parsenn-davos-klosters/,4.2,2034 m,810 m,2844 m,95.5 km,17.3 km,60.5 km,17.7 km,18 ski lifts,"SFr. 73,- / approx. € 66,-",https://www.skiresort.info/typo3temp/_processed_/6a/a9/98/8b/5b29204b81.jpg,Parsenn_(Davos_Klosters)_IDresort172.jpg,https://www.skiresort.info/ski-resorts/page/2/
114,115,266,Trysil,Europe,Norway,https://www.skiresort.info/ski-resort/trysil/,4.2,685 m,415 m,1100 m,71 km,33 km,18 km,20 km,31 ski lifts,"NOK 545,- / approx. € 54,-",https://www.skiresort.info/typo3temp/_processed_/36/67/7e/ed/98268ad688.jpg,Trysil_IDresort266.jpg,https://www.skiresort.info/ski-resorts/page/2/
115,116,331,Silver Star,North America,Canada,https://www.skiresort.info/ski-resort/silver-star/,4.1,760 m,1155 m,1915 m,115 km,20 km,50 km,45 km,7 ski lifts,"C$ 121,- / approx. € 82,-",https://www.skiresort.info/typo3temp/assets/_processed_/b0/03/32/27/cc4019162d.jpg,Silver_Star_IDresort331.jpg,https://www.skiresort.info/ski-resorts/page/2/
116,117,247,Megève/Saint-Gervais,Europe,France,https://www.skiresort.info/ski-resort/megevesaint-gervais/,4.1,1503 m,850 m,2353 m,263 km,98 km,134 km,31 km,81 ski lifts,€ 50.50,https://www.skiresort.info/typo3temp/_processed_/92/21/1a/a8/164589b91d.jpg,Megève/Saint-Gervais_IDresort247.jpg,https://www.skiresort.info/ski-resorts/page/2/
117,118,4157,Rusutsu,Asia,Japan,https://www.skiresort.info/ski-resort/rusutsu/,4.1,594 m,400 m,994 m,42 km,12.6 km,16.8 km,12.6 km,18 ski lifts,"¥ 6200,- / approx. € 48,-",https://www.skiresort.info/typo3temp/assets/_processed_/cf/f2/29/95/7bf1cf944d.jpg,Rusutsu_IDresort4157.jpg,https://www.skiresort.info/ski-resorts/page/2/
118,119,50,Arabba/Marmolada,Europe,Italy,https://www.skiresort.info/ski-resort/arabbamarmolada/,4.1,1823 m,1446 m,3269 m,63 km,23.6 km,30.5 km,8.9 km,26 ski lifts,"€ 57,-",https://www.skiresort.info/typo3temp/_processed_/b6/63/33/35/7c8de456b9.jpg,Arabba/Marmolada_IDresort50.jpg,https://www.skiresort.info/ski-resorts/page/2/
119,120,240,Le Grand Massif – Flaine/Les Carroz/Morillon/Samoëns/Sixt,Europe,France,https://www.skiresort.info/ski-resort/le-grand-massif-flaineles-carrozmorillonsamoenssixt/,4.1,1783 m,697 m,2480 m,265 km,135 km,95 km,35 km,55 ski lifts,€ 50.90,https://www.skiresort.info/typo3temp/_processed_/1c/cb/ba/a5/ca8079029c.jpg,Le_Grand_Massif_–_Flaine/Les_Carroz/Morillon/Samoëns/Sixt_IDresort240.jpg,https://www.skiresort.info/ski-resorts/page/2/
